,買入股數,買入價錢,總價,買入時間,ORDER ID,股票代號
0,65.0,7.69,499.85,2022年07月01日-20時05分,974d92f1-4ac8-4f57-a279-b8733b9a19f6,ACCD
1,100.0,4.99,499.0,2022年07月01日-20時05分,4156bc72-35f4-4970-b298-7933915c95df,ACTG
2,156.0,3.2,499.2000000000001,2022年07月01日-20時05分,236c581e-420a-4cd0-ad90-c7c3f9d6d103,ADGI
3,255.0,1.96,499.8,2022年07月01日-20時05分,8a402f98-e81a-418f-90d3-8fdcc0fc206d,AGEN
4,99.0,5.03,497.97,2022年07月01日-20時05分,c66e5e09-f863-4c77-b827-905ffe92e24b,AKUS
5,131.0,3.81,499.11,2022年07月01日-20時05分,14aed88e-7959-42a0-8509-5e32e59e1f15,ALDX
6,823.0,0.6068,499.3964,2022年07月01日-20時05分,861dbb1c-1663-464a-ad11-7c8a84b208a6,AWH
7,173.0,2.88,498.24,2022年07月01日-20時05分,8df3359c-e976-4ee8-951e-64102b461c36,BCAB
8,95.0,5.24,497.8,2022年07月01日-20時05分,18baedee-126d-4588-94c0-26adddde58bd,CPS
9,236.0,2.11,497.96,2022年07月01日-20時05分,3c3ef681-8d4e-45e7-91ad-073e6bf9b2b3,CRDF
10,101.0,4.93,497.93,2022年07月01日-20時05分,19ecec85-81c4-4412-a297-11339206b3d5,DNMR
11,331.0,1.51,499.81,2022年07月01日-20時05分,bd6db315-f982-4a9e-8c1b-5aa445753bd0,DTIL
12,163.0,3.06,498.78,2022年07月01日-20時05分,61c3b1ee-d432-406d-a568-290cdea50da9,HRTX
13,56.0,8.78,491.68,2022年07月01日-20時05分,66d67a3a-af66-457d-be04-219078eba672,IMPL
14,42.0,11.73,492.66,2022年07月01日-20時05分,ff4358a4-023d-4a3d-82f0-75ac64accd4d,LC
15,230.0,2.17,499.1,2022年07月01日-20時05分,dc60e419-f235-43b0-b60d-1cd99c84be43,LXRX
16,193.0,2.58,497.94,2022年07月01日-20時05分,e5b42975-8c45-4791-b0d1-fa03594757c0,OMER
17,39.0,12.6,491.4,2022年07月01日-20時05分,6ebc426a-5316-45fd-b278-a573b4caa7ef,RCKT
18,82.0,6.06,496.92,2022年07月01日-20時05分,db774bec-7963-4e65-b1b4-7d5a20dddfb0,SANA
19,12.0,39.5,474.0,2022年07月01日-20時05分,d2a85093-c8b3-43df-8550-3fcf5f1d1899,SMPL
20,99.0,5.05,499.95,2022年07月01日-20時05分,db0e3eed-5abc-482b-a393-6c327a00ee16,STRO
21,416.0,1.2,499.2,2022年07月01日-20時05分,2dd6442a-f185-479d-bf1e-442afe5d125e,TCRT
22,60.0,8.29,497.4,2022年07月01日-20時05分,f7f72fe6-4f7b-406f-8301-10bafe86d722,TKNO
23,40.0,12.5,500.0,2022年07月01日-20時05分,5ed3e9b2-f393-4d59-9345-165a2eac0200,TRDA
24,39.0,12.78,498.42,2022年07月01日-20時05分,f804ddc4-ffac-44a7-ac1d-b515a51d974d,TSVT
25,47.0,10.54,495.38,2022年07月01日-20時05分,69abda93-e6a7-4fc5-988b-153f6c1fc245,TWOU
26,145.0,3.43,497.35,2022年07月01日-20時06分,d6ed19b5-9f04-465f-884e-ffbb0f004f5f,VIRX
27,71.0,7.01,497.71,2022年07月01日-20時06分,8330b0da-a031-4ae9-b368-be5db9f5faa6,VUZI
28,146.0,3.41,497.86,2022年07月01日-20時06分,a17c31ab-4d1b-4f23-b82b-f0053a94a3ef,VXRT
29,65.0,7.69,499.85,2022年07月01日-21時55分,b3346e4d-585f-4377-be92-891db46d72bc,ACCD
30,100.0,4.99,499.0,2022年07月01日-21時55分,5eccf384-3bbf-45db-a70b-6db55949e877,ACTG
31,156.0,3.2,499.20000000000005,2022年07月01日-21時55分,30000f87-d6a2-45b5-aa60-f588d398f173,ADGI
32,255.0,1.96,499.8,2022年07月01日-21時55分,f38e9230-1197-4b28-879c-e4601397bd8f,AGEN
33,99.0,5.03,497.97,2022年07月01日-21時55分,32a5d80e-7e7b-49c8-a3ec-013cb95e5689,AKUS
34,131.0,3.81,499.11,2022年07月01日-21時55分,ffc2a331-38ba-463c-a643-970f8c77dcfa,ALDX
35,823.0,0.6068,499.3964,2022年07月01日-21時55分,88dff639-154d-4da6-80b0-d7ba6be4d78d,AWH
36,173.0,2.88,498.24,2022年07月01日-21時55分,c3ba98c2-0d7a-479b-b868-d3d10d9e2876,BCAB
37,95.0,5.24,497.8,2022年07月01日-21時55分,bab80ffb-bd3a-42ae-aeee-3b6f570ce675,CPS
38,236.0,2.11,497.96,2022年07月01日-21時55分,5a1618bb-d7a0-4790-8f63-9f794c825a14,CRDF
39,101.0,4.93,497.92999999999995,2022年07月01日-21時55分,5b950852-6de6-427b-9193-5bbc6c4a2083,DNMR
40,331.0,1.51,499.81,2022年07月01日-21時55分,cf6c3f23-000e-45a1-b5db-221bc3d1685e,DTIL
41,163.0,3.06,498.78000000000003,2022年07月01日-21時55分,d4c56cdf-8a43-42cc-b777-20458dd96ca2,HRTX
42,56.0,8.78,491.67999999999995,2022年07月01日-21時55分,bd8de487-6dc0-4a11-970c-f7a15495a914,IMPL
43,42.0,11.73,492.66,2022年07月01日-21時55分,415a9464-ee20-4602-880a-affd86d8c123,LC
44,230.0,2.17,499.09999999999997,2022年07月01日-21時55分,1e3f475d-cbbf-4304-830e-45407cbbc863,LXRX
45,193.0,2.58,497.94,2022年07月01日-21時55分,a7ba428d-1f94-4f20-8c9f-991cb5842082,OMER
46,39.0,12.6,491.4,2022年07月01日-21時55分,2bade757-4e08-4900-962d-d7f32731ca62,RCKT
47,82.0,6.06,496.91999999999996,2022年07月01日-21時55分,6971bb9d-77ca-4f4d-9b34-8e3fbaa8ca95,SANA
48,12.0,39.5,474.0,2022年07月01日-21時55分,513ac26c-e09e-4796-aafe-873f45d651e0,SMPL
49,99.0,5.05,499.95,2022年07月01日-21時55分,33ff1ac3-e6b5-4b27-93ff-c495f7079c20,STRO
50,416.0,1.2,499.2,2022年07月01日-21時55分,2e7d6225-3fe5-40b8-8dfc-dcad83a99107,TCRT
51,60.0,8.29,497.4,2022年07月01日-21時55分,36401ab7-c84b-4a5c-be19-50c885a3ba45,TKNO
52,40.0,12.5,500.0,2022年07月01日-21時55分,18c63ca5-41ff-4756-8a92-ae556b5f843d,TRDA
53,39.0,12.78,498.41999999999996,2022年07月01日-21時55分,18d4e36b-cda2-4c5e-9911-9728a1ad09d4,TSVT
54,47.0,10.54,495.37999999999994,2022年07月01日-21時55分,ec4a4b2d-b490-4c65-89f0-5efcc0a17710,TWOU
55,145.0,3.43,497.35,2022年07月01日-21時55分,278ca2fb-ff80-46a1-9420-cbd45bce7cfa,VIRX
56,71.0,7.01,497.71,2022年07月01日-21時55分,3cbafcdf-912c-49e5-aa2a-45e1b6bf013d,VUZI
57,146.0,3.41,497.86,2022年07月01日-21時55分,5e0417ed-6a95-4648-847c-a93d4e51b270,VXRT
